
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-10 00:36:07
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
Simulasi ini dirancang untuk menguji ketahanan dan jangkauan sinyal Wi-Fi 6 terhadap degradasi jarak (range/pathloss degradation test). Tujuannya adalah untuk mengamati bagaimana performa jaringan — mulai dari kekuatan sinyal, kecepatan unduh, keterlambatan, hingga tingkat kehilangan paket — berubah secara bertahap ketika sebuah perangkat klien bergerak semakin menjauh dari titik akses.

Secara konseptual, simulasi ini dapat dibayangkan sebagai sebuah eksperimen di mana sebuah Access Point (AP) Wi-Fi 6 dipasang pada posisi tetap, sementara satu buah laptop atau perangkat klien dibawa berjalan menjauh secara perlahan. Pengukuran dilakukan secara terus-menerus di sepanjang lintasan untuk merekam proses pelemahan sinyal dan penurunan kualitas komunikasi seiring bertambahnya jarak antara klien dan AP.

Jarak pengujian dimulai dari 1 meter hingga mencapai batas maksimum 300 meter. Dengan pendekatan ini, simulasi dapat memberikan gambaran menyeluruh tentang batas jangkauan efektif Wi-Fi 6 serta profil degradasi performanya dalam kondisi yang mendekati lingkungan nyata, lengkap dengan pengaruh redaman akibat obstacles.
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 2.4s | Jarak: 23 m | RSSI: -36.3462 dBm | Tput: 2850.68 Mbps | Delay: 55.9642 ms | Jitter: 0.00315986 ms | Drop: 36498
[INFO] Waktu: 2.6s | Jarak: 25 m | RSSI: -37.1609 dBm | Tput: 2859.45 Mbps | Delay: 55.7939 ms | Jitter: 0.00311663 ms | Drop: 36382
[INFO] Waktu: 2.8s | Jarak: 27 m | RSSI: -37.913 dBm | Tput: 2858.74 Mbps | Delay: 55.8213 ms | Jitter: 0.00313773 ms | Drop: 36369
[INFO] Waktu: 3s | Jarak: 29 m | RSSI: -38.6112 dBm | Tput: 2853.38 Mbps | Delay: 55.8955 ms | Jitter: 0.00314534 ms | Drop: 36519
[INFO] Waktu: 3.2s | Jarak: 31 m | RSSI: -39.2629 dBm | Tput: 2855.86 Mbps | Delay: 55.8222 ms | Jitter: 0.00314706 ms | Drop: 36373
[INFO] Waktu: 3.4s | Jarak: 33 m | RSSI: -39.8739 dBm | Tput: 2848.85 Mbps | Delay: 55.9745 ms | Jitter: 0.00315432 ms | Drop: 36551
[INFO] Waktu: 3.6s | Jarak: 35 m | RSSI: -40.4488 dBm | Tput: 2848.85 Mbps | Delay: 55.9343 ms | Jitter: 0.00316841 ms | Drop: 36517
[INFO] Waktu: 3.8s | Jarak: 37 m | RSSI: -40.9918 dBm | Tput: 2852.68 Mbps | Delay: 55.8843 ms | Jitter: 0.00314826 ms | Drop: 36499
[INFO] Waktu: 4s | Jarak: 39 m | RSSI: -41.5062 dBm | Tput: 2855.44 Mbps | Delay: 55.7666 ms | Jitter: 0.00313421 ms | Drop: 36431
[INFO] Waktu: 4.2s | Jarak: 41 m | RSSI: -41.9949 dBm | Tput: 2847.14 Mbps | Delay: 56.033 ms | Jitter: 0.00315489 ms | Drop: 36619
[INFO] Waktu: 4.4s | Jarak: 43 m | RSSI: -42.4603 dBm | Tput: 2858.27 Mbps | Delay: 55.8061 ms | Jitter: 0.00314673 ms | Drop: 36302
[INFO] Waktu: 4.6s | Jarak: 45 m | RSSI: -42.9046 dBm | Tput: 2844.43 Mbps | Delay: 56.0036 ms | Jitter: 0.00317165 ms | Drop: 36649
[INFO] Waktu: 4.8s | Jarak: 47 m | RSSI: -43.3295 dBm | Tput: 2843.96 Mbps | Delay: 55.9277 ms | Jitter: 0.00316304 ms | Drop: 36596
[INFO] Waktu: 5s | Jarak: 49 m | RSSI: -43.7367 dBm | Tput: 2848.73 Mbps | Delay: 56.0029 ms | Jitter: 0.00317732 ms | Drop: 36624
[INFO] Waktu: 5.2s | Jarak: 51 m | RSSI: -44.1276 dBm | Tput: 2846.08 Mbps | Delay: 55.9285 ms | Jitter: 0.00315981 ms | Drop: 36542
[INFO] Waktu: 5.4s | Jarak: 53 m | RSSI: -44.5035 dBm | Tput: 2836.54 Mbps | Delay: 56.0887 ms | Jitter: 0.00319456 ms | Drop: 36798
[INFO] Waktu: 5.6s | Jarak: 55 m | RSSI: -44.8655 dBm | Tput: 2839.84 Mbps | Delay: 56.053 ms | Jitter: 0.0031967 ms | Drop: 36620
[INFO] Waktu: 5.8s | Jarak: 57 m | RSSI: -45.2145 dBm | Tput: 2857.86 Mbps | Delay: 55.8341 ms | Jitter: 0.00312807 ms | Drop: 36396
[INFO] Waktu: 6s | Jarak: 59 m | RSSI: -45.5515 dBm | Tput: 2848.85 Mbps | Delay: 55.9806 ms | Jitter: 0.00317527 ms | Drop: 36609
[INFO] Waktu: 6.2s | Jarak: 61 m | RSSI: -45.8772 dBm | Tput: 2847.67 Mbps | Delay: 55.9187 ms | Jitter: 0.0031666 ms | Drop: 36541
[INFO] Waktu: 6.4s | Jarak: 63 m | RSSI: -46.1925 dBm | Tput: 2843.26 Mbps | Delay: 55.9742 ms | Jitter: 0.00316731 ms | Drop: 36577
[INFO] Waktu: 6.6s | Jarak: 65 m | RSSI: -46.4978 dBm | Tput: 2846.67 Mbps | Delay: 55.9916 ms | Jitter: 0.00317344 ms | Drop: 36574
[INFO] Waktu: 6.8s | Jarak: 67 m | RSSI: -46.794 dBm | Tput: 2849.09 Mbps | Delay: 55.9003 ms | Jitter: 0.00316327 ms | Drop: 36558
[INFO] Waktu: 7s | Jarak: 69 m | RSSI: -47.0814 dBm | Tput: 2842.49 Mbps | Delay: 56.0402 ms | Jitter: 0.00316747 ms | Drop: 36658
[INFO] Waktu: 7.2s | Jarak: 71 m | RSSI: -47.3606 dBm | Tput: 2843.85 Mbps | Delay: 56.0198 ms | Jitter: 0.00318281 ms | Drop: 36617
[INFO] Waktu: 7.4s | Jarak: 73 m | RSSI: -47.6321 dBm | Tput: 2849.32 Mbps | Delay: 55.9132 ms | Jitter: 0.00316465 ms | Drop: 36529
[INFO] Waktu: 7.6s | Jarak: 75 m | RSSI: -48.0617 dBm | Tput: 2839.25 Mbps | Delay: 56.0427 ms | Jitter: 0.00319003 ms | Drop: 36718
[INFO] Waktu: 7.8s | Jarak: 77 m | RSSI: -48.5189 dBm | Tput: 2847.91 Mbps | Delay: 55.8817 ms | Jitter: 0.00314189 ms | Drop: 36564
[INFO] Waktu: 8s | Jarak: 79 m | RSSI: -48.9643 dBm | Tput: 2837.84 Mbps | Delay: 56.0852 ms | Jitter: 0.00320432 ms | Drop: 36711
[INFO] Waktu: 8.2s | Jarak: 81 m | RSSI: -49.3987 dBm | Tput: 2848.03 Mbps | Delay: 56.0195 ms | Jitter: 0.00316873 ms | Drop: 36556
[INFO] Waktu: 8.4s | Jarak: 83 m | RSSI: -49.8224 dBm | Tput: 2844.14 Mbps | Delay: 55.9847 ms | Jitter: 0.00316226 ms | Drop: 36665
[INFO] Waktu: 8.6s | Jarak: 85 m | RSSI: -50.236 dBm | Tput: 2850.32 Mbps | Delay: 55.8386 ms | Jitter: 0.00314595 ms | Drop: 36498
[INFO] Waktu: 8.8s | Jarak: 87 m | RSSI: -50.64 dBm | Tput: 2841.37 Mbps | Delay: 56.0226 ms | Jitter: 0.00321945 ms | Drop: 36693
[INFO] Waktu: 9s | Jarak: 89 m | RSSI: -51.0349 dBm | Tput: 2821.41 Mbps | Delay: 56.3575 ms | Jitter: 0.00340778 ms | Drop: 36967
[INFO] Waktu: 9.2s | Jarak: 91 m | RSSI: -51.4209 dBm | Tput: 2716.37 Mbps | Delay: 57.8771 ms | Jitter: 0.00441354 ms | Drop: 38797
[INFO] Waktu: 9.4s | Jarak: 93 m | RSSI: -51.7986 dBm | Tput: 2635 Mbps | Delay: 59.0093 ms | Jitter: 0.00363824 ms | Drop: 40179
[INFO] Waktu: 9.6s | Jarak: 95 m | RSSI: -52.1682 dBm | Tput: 2624.93 Mbps | Delay: 59.4663 ms | Jitter: 0.00388313 ms | Drop: 40306
[INFO] Waktu: 9.8s | Jarak: 97 m | RSSI: -52.5301 dBm | Tput: 2552.8 Mbps | Delay: 60.5336 ms | Jitter: 0.00464432 ms | Drop: 41571
[INFO] Waktu: 10s | Jarak: 99 m | RSSI: -52.8847 dBm | Tput: 2407.01 Mbps | Delay: 63.1289 ms | Jitter: 0.00420974 ms | Drop: 44046
[INFO] Waktu: 10.2s | Jarak: 101 m | RSSI: -53.2321 dBm | Tput: 2408.96 Mbps | Delay: 63.4458 ms | Jitter: 0.00423992 ms | Drop: 44076
[INFO] Waktu: 10.4s | Jarak: 103 m | RSSI: -53.5727 dBm | Tput: 2407.9 Mbps | Delay: 63.292 ms | Jitter: 0.00422399 ms | Drop: 43966
[INFO] Waktu: 10.6s | Jarak: 105 m | RSSI: -53.9068 dBm | Tput: 2406.9 Mbps | Delay: 63.3868 ms | Jitter: 0.00425211 ms | Drop: 48802
[INFO] Waktu: 10.8s | Jarak: 107 m | RSSI: -54.2346 dBm | Tput: 2413.43 Mbps | Delay: 63.2644 ms | Jitter: 0.0042124 ms | Drop: 43902
[INFO] Waktu: 11s | Jarak: 109 m | RSSI: -54.5563 dBm | Tput: 2398.06 Mbps | Delay: 63.5271 ms | Jitter: 0.00427092 ms | Drop: 44222
[INFO] Waktu: 11.2s | Jarak: 111 m | RSSI: -54.8722 dBm | Tput: 2401.13 Mbps | Delay: 63.5491 ms | Jitter: 0.00426265 ms | Drop: 44201
[INFO] Waktu: 11.4s | Jarak: 113 m | RSSI: -55.1824 dBm | Tput: 2403.25 Mbps | Delay: 63.3898 ms | Jitter: 0.00425506 ms | Drop: 44052
[INFO] Waktu: 11.6s | Jarak: 115 m | RSSI: -55.4872 dBm | Tput: 2400.18 Mbps | Delay: 63.5269 ms | Jitter: 0.00426688 ms | Drop: 44168
[INFO] Waktu: 11.8s | Jarak: 117 m | RSSI: -55.7867 dBm | Tput: 2404.01 Mbps | Delay: 63.3768 ms | Jitter: 0.00424548 ms | Drop: 44099
[INFO] Waktu: 12s | Jarak: 119 m | RSSI: -56.0811 dBm | Tput: 2413.43 Mbps | Delay: 63.2264 ms | Jitter: 0.00423825 ms | Drop: 43942
[INFO] Waktu: 12.2s | Jarak: 121 m | RSSI: -56.3707 dBm | Tput: 2401.66 Mbps | Delay: 63.4619 ms | Jitter: 0.00429693 ms | Drop: 44164
[INFO] Waktu: 12.4s | Jarak: 123 m | RSSI: -56.6555 dBm | Tput: 2404.95 Mbps | Delay: 63.4921 ms | Jitter: 0.00435816 ms | Drop: 44020
[INFO] Waktu: 12.6s | Jarak: 125 m | RSSI: -56.9357 dBm | Tput: 2403.83 Mbps | Delay: 63.355 ms | Jitter: 0.00436669 ms | Drop: 44218
[INFO] Waktu: 12.8s | Jarak: 127 m | RSSI: -57.2114 dBm | Tput: 2347.02 Mbps | Delay: 64.5842 ms | Jitter: 0.005126 ms | Drop: 44971
[INFO] Waktu: 13s | Jarak: 129 m | RSSI: -57.4828 dBm | Tput: 2251.22 Mbps | Delay: 66.5988 ms | Jitter: 0.00637077 ms | Drop: 46579
[INFO] Waktu: 13.2s | Jarak: 131 m | RSSI: -57.7501 dBm | Tput: 2208.12 Mbps | Delay: 67.6417 ms | Jitter: 0.00423106 ms | Drop: 47520
[INFO] Waktu: 13.4s | Jarak: 133 m | RSSI: -58.0133 dBm | Tput: 2197.64 Mbps | Delay: 67.8944 ms | Jitter: 0.00467895 ms | Drop: 47606
[INFO] Waktu: 13.6s | Jarak: 135 m | RSSI: -58.2726 dBm | Tput: 2179.74 Mbps | Delay: 68.4193 ms | Jitter: 0.00539525 ms | Drop: 47876
[INFO] Waktu: 13.8s | Jarak: 137 m | RSSI: -58.5281 dBm | Tput: 2150.24 Mbps | Delay: 69.2306 ms | Jitter: 0.00598561 ms | Drop: 48520
[INFO] Waktu: 14s | Jarak: 139 m | RSSI: -58.7798 dBm | Tput: 1808.79 Mbps | Delay: 77.8452 ms | Jitter: 0.00859281 ms | Drop: 54118
[INFO] Waktu: 14.2s | Jarak: 141 m | RSSI: -59.028 dBm | Tput: 1915.6 Mbps | Delay: 76.3334 ms | Jitter: 0.00636428 ms | Drop: 52486
[INFO] Waktu: 14.4s | Jarak: 143 m | RSSI: -59.2727 dBm | Tput: 1922.55 Mbps | Delay: 75.5511 ms | Jitter: 0.00618328 ms | Drop: 52158
[INFO] Waktu: 14.6s | Jarak: 145 m | RSSI: -59.514 dBm | Tput: 1916.54 Mbps | Delay: 75.6256 ms | Jitter: 0.00618207 ms | Drop: 52413
[INFO] Waktu: 14.8s | Jarak: 147 m | RSSI: -59.7519 dBm | Tput: 1919.78 Mbps | Delay: 75.6777 ms | Jitter: 0.00620865 ms | Drop: 52414
[INFO] Waktu: 15s | Jarak: 149 m | RSSI: -59.9867 dBm | Tput: 1919.61 Mbps | Delay: 75.5229 ms | Jitter: 0.0061616 ms | Drop: 52208
[INFO] Waktu: 15.2s | Jarak: 151 m | RSSI: -60.2183 dBm | Tput: 1921.61 Mbps | Delay: 75.4834 ms | Jitter: 0.00616538 ms | Drop: 52364
[INFO] Waktu: 15.4s | Jarak: 153 m | RSSI: -60.4469 dBm | Tput: 1916.78 Mbps | Delay: 75.5716 ms | Jitter: 0.0062182 ms | Drop: 52410
[INFO] Waktu: 15.6s | Jarak: 155 m | RSSI: -60.6725 dBm | Tput: 1913.89 Mbps | Delay: 75.6974 ms | Jitter: 0.00619988 ms | Drop: 52417
[INFO] Waktu: 15.8s | Jarak: 157 m | RSSI: -60.8952 dBm | Tput: 1909.18 Mbps | Delay: 75.8671 ms | Jitter: 0.00625681 ms | Drop: 52413
[INFO] Waktu: 16s | Jarak: 159 m | RSSI: -61.1151 dBm | Tput: 1914.25 Mbps | Delay: 75.7256 ms | Jitter: 0.00621752 ms | Drop: 52414
[INFO] Waktu: 16.2s | Jarak: 161 m | RSSI: -61.3323 dBm | Tput: 1911.77 Mbps | Delay: 75.7272 ms | Jitter: 0.00621406 ms | Drop: 52414
[INFO] Waktu: 16.4s | Jarak: 163 m | RSSI: -61.5468 dBm | Tput: 1912.36 Mbps | Delay: 75.7542 ms | Jitter: 0.00623495 ms | Drop: 52465
[INFO] Waktu: 16.6s | Jarak: 165 m | RSSI: -61.7586 dBm | Tput: 1925.14 Mbps | Delay: 75.4589 ms | Jitter: 0.00615714 ms | Drop: 52290
[INFO] Waktu: 16.8s | Jarak: 167 m | RSSI: -61.9679 dBm | Tput: 1915.78 Mbps | Delay: 75.5932 ms | Jitter: 0.0061929 ms | Drop: 52364
[INFO] Waktu: 17s | Jarak: 169 m | RSSI: -62.1747 dBm | Tput: 1924.2 Mbps | Delay: 75.3902 ms | Jitter: 0.00613903 ms | Drop: 52279
[INFO] Waktu: 17.2s | Jarak: 171 m | RSSI: -62.3791 dBm | Tput: 1904.24 Mbps | Delay: 75.9662 ms | Jitter: 0.006349 ms | Drop: 52534
[INFO] Waktu: 17.4s | Jarak: 173 m | RSSI: -62.5811 dBm | Tput: 1914.42 Mbps | Delay: 75.7539 ms | Jitter: 0.00628522 ms | Drop: 52414
[INFO] Waktu: 17.6s | Jarak: 175 m | RSSI: -62.7808 dBm | Tput: 1909.71 Mbps | Delay: 75.7317 ms | Jitter: 0.00635603 ms | Drop: 52526
[INFO] Waktu: 17.8s | Jarak: 177 m | RSSI: -62.9782 dBm | Tput: 1901.06 Mbps | Delay: 76.0806 ms | Jitter: 0.00656946 ms | Drop: 52570
[INFO] Waktu: 18s | Jarak: 179 m | RSSI: -63.1734 dBm | Tput: 1878.39 Mbps | Delay: 76.8894 ms | Jitter: 0.00704057 ms | Drop: 53110
[INFO] Waktu: 18.2s | Jarak: 181 m | RSSI: -63.3664 dBm | Tput: 1865.38 Mbps | Delay: 77.2681 ms | Jitter: 0.00739432 ms | Drop: 53178
[INFO] Waktu: 18.4s | Jarak: 183 m | RSSI: -63.5573 dBm | Tput: 1746.03 Mbps | Delay: 81.0402 ms | Jitter: 0.0074142 ms | Drop: 55345
[INFO] Waktu: 18.6s | Jarak: 185 m | RSSI: -63.7523 dBm | Tput: 1743.55 Mbps | Delay: 81.4687 ms | Jitter: 0.00747409 ms | Drop: 55222
[INFO] Waktu: 18.8s | Jarak: 187 m | RSSI: -63.9329 dBm | Tput: 1748.09 Mbps | Delay: 81.5835 ms | Jitter: 0.00756105 ms | Drop: 55220
[INFO] Waktu: 19s | Jarak: 189 m | RSSI: -64.1177 dBm | Tput: 1741.14 Mbps | Delay: 81.7278 ms | Jitter: 0.00761072 ms | Drop: 55465
[INFO] Waktu: 19.2s | Jarak: 191 m | RSSI: -64.3006 dBm | Tput: 1715.23 Mbps | Delay: 82.7199 ms | Jitter: 0.00839096 ms | Drop: 55709
[INFO] Waktu: 19.4s | Jarak: 193 m | RSSI: -64.4815 dBm | Tput: 1705.69 Mbps | Delay: 83.0609 ms | Jitter: 0.00874571 ms | Drop: 55941
[INFO] Waktu: 19.6s | Jarak: 195 m | RSSI: -64.6606 dBm | Tput: 1593.53 Mbps | Delay: 87.1612 ms | Jitter: 0.00851148 ms | Drop: 57868
[INFO] Waktu: 19.8s | Jarak: 197 m | RSSI: -64.8379 dBm | Tput: 1590.58 Mbps | Delay: 87.9 ms | Jitter: 0.00869774 ms | Drop: 58045
[INFO] Waktu: 20s | Jarak: 199 m | RSSI: -65.0134 dBm | Tput: 1594.29 Mbps | Delay: 87.7612 ms | Jitter: 0.00870496 ms | Drop: 57801
[INFO] Waktu: 20.2s | Jarak: 201 m | RSSI: -52.408 dBm | Tput: 2594.78 Mbps | Delay: 62.9792 ms | Jitter: 0.00470671 ms | Drop: 40832
[INFO] Waktu: 20.4s | Jarak: 203 m | RSSI: -52.494 dBm | Tput: 2582.06 Mbps | Delay: 60.1885 ms | Jitter: 0.00430539 ms | Drop: 41081
[INFO] Waktu: 20.6s | Jarak: 205 m | RSSI: -52.5792 dBm | Tput: 2543.26 Mbps | Delay: 60.7605 ms | Jitter: 0.00479837 ms | Drop: 41796
[INFO] Waktu: 20.8s | Jarak: 207 m | RSSI: -52.6635 dBm | Tput: 2513.7 Mbps | Delay: 61.4721 ms | Jitter: 0.00508407 ms | Drop: 42212
[INFO] Waktu: 21s | Jarak: 209 m | RSSI: -52.747 dBm | Tput: 2483.03 Mbps | Delay: 61.8578 ms | Jitter: 0.00546421 ms | Drop: 42612
[INFO] Waktu: 21.2s | Jarak: 211 m | RSSI: -52.8298 dBm | Tput: 2451.47 Mbps | Delay: 62.6247 ms | Jitter: 0.00589226 ms | Drop: 43325
[INFO] Waktu: 21.4s | Jarak: 213 m | RSSI: -52.9117 dBm | Tput: 2393.12 Mbps | Delay: 63.4092 ms | Jitter: 0.00431673 ms | Drop: 44343
[INFO] Waktu: 21.6s | Jarak: 215 m | RSSI: -52.9929 dBm | Tput: 2406.25 Mbps | Delay: 63.293 ms | Jitter: 0.00424503 ms | Drop: 44099
[INFO] Waktu: 21.8s | Jarak: 217 m | RSSI: -53.0733 dBm | Tput: 2398.3 Mbps | Delay: 63.3887 ms | Jitter: 0.00426646 ms | Drop: 44151
[INFO] Waktu: 22s | Jarak: 219 m | RSSI: -53.153 dBm | Tput: 2404.66 Mbps | Delay: 63.3516 ms | Jitter: 0.00423997 ms | Drop: 44045
[INFO] Waktu: 22.2s | Jarak: 221 m | RSSI: -53.232 dBm | Tput: 2425.44 Mbps | Delay: 62.9544 ms | Jitter: 0.00417385 ms | Drop: 43763
[INFO] Waktu: 22.4s | Jarak: 223 m | RSSI: -53.3102 dBm | Tput: 2414.02 Mbps | Delay: 63.1381 ms | Jitter: 0.00421112 ms | Drop: 43904
[INFO] Waktu: 22.6s | Jarak: 225 m | RSSI: -53.3878 dBm | Tput: 2420.91 Mbps | Delay: 62.9542 ms | Jitter: 0.00418667 ms | Drop: 43835
[INFO] Waktu: 22.8s | Jarak: 227 m | RSSI: -53.4646 dBm | Tput: 2398.65 Mbps | Delay: 63.3792 ms | Jitter: 0.00427058 ms | Drop: 44156
[INFO] Waktu: 23s | Jarak: 229 m | RSSI: -53.5408 dBm | Tput: 2414.55 Mbps | Delay: 63.2591 ms | Jitter: 0.00421726 ms | Drop: 43909
[INFO] Waktu: 23.2s | Jarak: 231 m | RSSI: -53.6164 dBm | Tput: 2406.19 Mbps | Delay: 63.2322 ms | Jitter: 0.00424052 ms | Drop: 44115
[INFO] Waktu: 23.4s | Jarak: 233 m | RSSI: -53.6912 dBm | Tput: 2394.65 Mbps | Delay: 63.4501 ms | Jitter: 0.0042829 ms | Drop: 44263
[INFO] Waktu: 23.6s | Jarak: 235 m | RSSI: -53.7655 dBm | Tput: 2416.2 Mbps | Delay: 63.1394 ms | Jitter: 0.00421418 ms | Drop: 43865
[INFO] Waktu: 23.8s | Jarak: 237 m | RSSI: -53.8391 dBm | Tput: 2404.48 Mbps | Delay: 63.3279 ms | Jitter: 0.00424095 ms | Drop: 44129
[INFO] Waktu: 24s | Jarak: 239 m | RSSI: -53.9121 dBm | Tput: 2406.07 Mbps | Delay: 63.2853 ms | Jitter: 0.00425269 ms | Drop: 43992
[INFO] Waktu: 24.2s | Jarak: 241 m | RSSI: -53.9845 dBm | Tput: 2404.72 Mbps | Delay: 63.3233 ms | Jitter: 0.00424911 ms | Drop: 44165
[INFO] Waktu: 24.4s | Jarak: 243 m | RSSI: -54.0562 dBm | Tput: 2402.6 Mbps | Delay: 63.3176 ms | Jitter: 0.00425647 ms | Drop: 44074
[INFO] Waktu: 24.6s | Jarak: 245 m | RSSI: -54.1274 dBm | Tput: 2418.32 Mbps | Delay: 63.0994 ms | Jitter: 0.00420715 ms | Drop: 43888
[INFO] Waktu: 24.8s | Jarak: 247 m | RSSI: -54.1981 dBm | Tput: 2414.37 Mbps | Delay: 62.9496 ms | Jitter: 0.00419803 ms | Drop: 43892
[INFO] Waktu: 25s | Jarak: 249 m | RSSI: -54.2681 dBm | Tput: 2405.01 Mbps | Delay: 63.3536 ms | Jitter: 0.00425309 ms | Drop: 44039
[INFO] Waktu: 25.2s | Jarak: 251 m | RSSI: -54.3376 dBm | Tput: 2395 Mbps | Delay: 63.4963 ms | Jitter: 0.00429482 ms | Drop: 44252
[INFO] Waktu: 25.4s | Jarak: 253 m | RSSI: -54.4065 dBm | Tput: 2416.14 Mbps | Delay: 63.1359 ms | Jitter: 0.00419962 ms | Drop: 43936
[INFO] Waktu: 25.6s | Jarak: 255 m | RSSI: -54.4749 dBm | Tput: 2404.95 Mbps | Delay: 63.2058 ms | Jitter: 0.00424797 ms | Drop: 44060
[INFO] Waktu: 25.8s | Jarak: 257 m | RSSI: -54.5428 dBm | Tput: 2401.6 Mbps | Delay: 63.4215 ms | Jitter: 0.00426297 ms | Drop: 44127
[INFO] Waktu: 26s | Jarak: 259 m | RSSI: -54.6101 dBm | Tput: 2401.07 Mbps | Delay: 63.3568 ms | Jitter: 0.00425982 ms | Drop: 44221
[INFO] Waktu: 26.2s | Jarak: 261 m | RSSI: -54.6769 dBm | Tput: 2399.65 Mbps | Delay: 63.3281 ms | Jitter: 0.00427909 ms | Drop: 44114
[INFO] Waktu: 26.4s | Jarak: 263 m | RSSI: -54.7432 dBm | Tput: 2409.96 Mbps | Delay: 63.1946 ms | Jitter: 0.00423455 ms | Drop: 44059
